A  AX
HELPFUL  HH EH L P F UH L
HELPING  HH EH L P IX NG
HELPLESS  HH EH L P L AX S
HELPS  HH EH L P S
HEM  HH EH M
HEMORRHAGE  HH EH M AXR IH JH
HEN  HH EH N
HENCEFORTH  HH EH N S F AO R TH
HENRY  HH EH N R IY
HEPATITIS  HH EH P AX T AY T IX S
HER  HH ER
HERB'S  HH ER B Z
HERD  HH ER D
HERDIN'  HH ER D EN
HERE  HH IH R
HERE'S  HH IH R Z
HERITAGE  HH EH R AX T IH JH
HERO  HH IH R OW
HEROES  HH IH R OW Z
HEROIC  HH IH R OW IH K
HEROISM  HH EH R OW IH Z EM
HERSELF  HH AXR S EH L F
HESITATE  HH EH Z IX T EY T
HEY  HH EY
HIBACHI  HH IH B AA CH IY
HIDE  HH AY D
HIDES  HH AY D Z
HIDING  HH AY D IX NG
HIERARCHIES  HH AY AXR AA R K IY Z
HIGH  HH AY
HIGHER  HH AY AXR
HIGHEST  HH AY IX S T
HIGHLY  HH AY L IY
HIGHWAY  HH AY W EY
HIKING  HH AY K IX NG
HILLS  HH IH L Z
HILLSIDE  HH IH L S AY D
HIM  HH IH M
HIMSELF  HH IH M S EH L F
HINDU  HH IH N D UW
HINT  HH IH N T
HIRE  HH AY AXR
HIRED  HH AY AXR D
HIRES  HH AY AXR Z
HIRING  HH AY AXR IX NG
HIS  HH IH Z
HISPANIC  HH IH S P AE N IH K
HISTORIANS  HH IH S T AO R IY AX N Z
HISTORICAL  HH IH S T AO R IX K EL
HISTORICALLY  HH IH S T AO R IX K L IY
HISTORY  HH IH S T AXR IY
HIT  HH IH T
HOARSE  HH AO R S
HOLD  HH OW L D
HOLDER  HH OW L D AXR
HOLDING  HH OW L D IX NG
HOLDS  HH OW L D Z
HOLE  HH OW L
HOLES  HH OW L Z
HOLIDAY  HH AA L IX D EY
HOLIDAYS  HH AA L IX D EY Z
HOME  HH OW M
HOME-MADE  HH OW M EY D
HOMES  HH OW M Z
HOMOGENEOUS  HH OW M AX JH IY N IY AX S
HONEST  AA N IX S T
HONESTY  AA N IH S T IY
HONEY  HH AH N IY
HONEYBEES  HH AH N IY B IY Z
HONOR  AA N AXR
HOOD  HH UH D
HOOFS  HH UH F S
HOOK  HH UH K
HOOKING  HH UH K IX NG
HOPE  HH OW P
HOPED  HH OW P T
HOPEFUL  HH OW P F UH L
HOPELESS  HH OW P L AX S
HORIZON  HH AXR AY Z EN
HORROR  HH AO R AXR
HORSE  HH AO R S
HORSEBACK  HH AO R S B AE K
HORSEPLAY  HH AO R S P L EY
HORSES  HH AO R S IX Z
HOSPITALIZATION  HH AA S P IH T EL AX Z EY SH IX N
HOSPITALS  HH AA S P IH T EL Z
HOST  HH OW S T
HOSTAGES  HH AA S T IH JH Z
HOT  HH AA T
HOTEL  HH OW T EH L
HOTELS  HH OW T EH L Z
HOUR  AW R
HOURS  AW R Z
HOUSE  HH AW S
HOUSEHOLD  HH AW S HH OW L D
HOUSEHOLDER  HH AW S HH OW L D AXR
HOUSES  HH AW S IX Z
HOUSEWIVES  HH AW S W AY V Z
HOUSEWORK  HH AW S W ER K
HOUSING  HH AW Z IX NG
HOW  HH AW
HOW'S  HH AW Z
HOWEVER  HH AW EH V AXR
HUB  HH AH B
HUGE  HH Y UW JH
HUGGED  HH AH G D
HUGGING  HH AH G IX NG
HULL  HH AH L
HUM  HH AH M
HUMAN  HH Y UW M AX N
HUMANISM  HH Y UW M AX N IH Z EM
HUMID  HH Y UW M IX D
HUMIDITY  HH Y UW M IH D IX T IY
HUMOR  HH Y UW M AXR
HUMOROUS  HH Y UW M AXR AX S
HUNDRED  HH AH N D R AX D
HUNG  HH AH NG
HUNGARIAN  HH AH NG G EH R IY AX N
HUNTER  HH AH N T AXR
HURRIEDLY  HH ER IX D L IY
HURRY  HH ER IY
HURT  HH ER T
HURTS  HH ER T S
HUSBAND  HH AH Z B AX N D
HUSBAND'S  HH AH Z B AX N D Z
HUSBANDRY  HH AH Z B AX N D R IY
HUSKY  HH AH S K IY
HUT  HH AH T
HYACINTHS  HH AY AX S IH N TH S
HYENA  HH AY IY N AX
HYENAS  HH AY IY N IX Z
HYPOCRITES  HH IH P AX K R IH T S
HYPOTHALAMIC  HH AY P OW TH AX L AE M IH K
HYPOTHETICAL  HH AY P AX TH EH T IH K EL
HYSTERICAL  HH IH S T EH R IX K EL
I  AY
I'D  AY D
I'LL  AY L
I'M  AY M
I'VE  AY V
ICE  AY S
ICES  AY S IX Z
ICICLES  AY S IH K EL Z
ICY  AY S IY
IDEA  AY D IY AX
IDEAL  AY D IY L
IDEALLY  AY D IY L IY
IDEAS  AY D IY AX Z
IDENTICAL  AY D EH N T IH K EL
IDENTIFIABLE  AY D EH N T IX F AY AX B EL
IDENTIFIED  AY D EH N T IX F AY
IDENTIFY  AY D EH N T IX F AY
IDEOLOGICAL  AY D IY AX L AA JH IH K EL
IDEOLOGY  AY D IY AA L AX JH IY
IDIOSYNCRASIES  IH D IY IX S IH NG K R IX S IY Z
IDIOTIC  IH D IY AA T IH K
IDIOTICALLY  IH D IY AA T IX K L IY
IDLY  AY D L IY
IDOLIZE  AY D AX L AY Z
IF  IH F
IGNORE  IH G N AO R
IGNORED  IH G N AO R D
IGNORES  IH G N AO R Z
IGUANAS  IH G W AA N IX Z
ILL  IH L
ILLEGAL  IH L IY G EL
ILLEGALLY  IH L IY G EL IY
ILLNESS  IH L N IX S
ILLNESSES  IH L N IX S IX Z
ILLUMINATED  IH L UW M IX N EY T IX D
ILLUMINATING  IH L UW M IX N EY T IX NG
ILLUMINED  IH L UW M IH N D
ILLUSIONS  IH L UW ZH IX N Z
IMAGE  IH M IH JH
IMAGES  IH M IH JH IX Z
IMAGINATION  IH M AE JH IX N EY SH IX N
IMAGINE  IH M AE JH IX N
IMAGINED  IH M AE JH IX N D
IMITATE  IH M AX T EY T
IMMATERIAL  IH M AX T IH R IY EL
IMMEDIATE  IH M IY D IY AX T
IMMEDIATELY  IH M IY D IY AX T L IY
IMMORTAL  IH M AO R T EL
IMPACT  IH M P AE K T
IMPERFECT  IH M P ER F IH K T
IMPERSONAL  IH M P ER S EN EL
IMPLAUSIBLY  IH M P L AO Z AX B L IY
IMPLICATIONS  IH M P L AX K EY SH IX N Z
IMPLIED  IH M P L AY D
IMPORT  IH M P AO R T
IMPORTANCE  IH M P AO R T EN S
IMPORTANT  IH M P AO R T AX N T
IMPORTS  IH M P AO R T S
IMPOSES  IH M P OW Z IX Z
IMPOSSIBLE  IH M P AA S IX B EL
IMPRESSIONS  IH M P R EH SH IX N Z
IMPROVED  IH M P R UW V D
IMPROVING  IH M P R UW V IX NG
IMPULSES  IH M P AH L S IX Z
IN  IH N
INADEQUATE  IH N AE D IH K W AX T
INADVISABLE  IH N AX D V AY Z AX B EL
INANIMATE  IH N AE N AX M AX T
INARTICULATE  IH N AA R T IH K Y UH L IX T
INAUGURAL  IH N AO G Y AXR EL
INCH  IH N CH
INCLUDE  IH N K L UW D
INCLUDED  IH N K L UW D IX D
INCLUDING  IH N K L UW D IX NG
INCLUSIONS  IH N K L UW ZH IX N Z
INCOME  IH N K AH M
INCOMPLETE  IH N K AX M P L IY T
INCORPORATED  IH N K AO R P AXR EY T IX D
INCREASE  IH N K R IY S
INCREASED  IH N K R IY S T
INCREASES  IH N K R IY S IX Z
INCREASING  IH N K R IY S IX NG
INDEED  IH N D IY D
INDEFINABLE  IH N D IH F AY N AX B EL
INDEFINITE  IH N D EH F AX N IX T
INDEMNITY  IH N D EH M N IX T IY
INDEPENDENT  IH N D AX P EH N D IX N T
INDEX  IH N D EH K S
INDICATE  IH N D IX K EY T
INDICATED  IH N D IX K EY T IX D
INDICATES  IH N D IX K EY T S
INDISPENSABLE  IH N D IH S P EH N S AX B EL
INDIVIDUAL  IH N D AX V IH JH UW EL
INDIVIDUALS  IH N D AX V IH JH UW EL Z
INDULGE  IH N D AH L JH
INDUSTRY  IH N D AH S T R IY
INEFFECTIVE  IH N AX F EH K T IH V
INERTIA  IH N ER SH AX
INEVITABLE  IH N EH V AX T AX B EL
INEXACT  IH N IH G Z AE K T
INEXCUSABLE  IH N IH K S K Y UW Z AX B EL
INEXHAUSTIBLE  IH N IH G Z AO S T AX B EL
INFANCY  IH N F AX N S IY
INFECTION  IH N F EH K SH IX N
INFECTIOUS  IH N F EH K SH UW AX S
INFECTIVE  IH N F EH K T IH V
INFERENCES  IH N F AXR AX N S IX Z
INFERIORITY  IH N F IH R IY AO R AX T IY
INFIDELS  IH N F IX D EL Z
INFIELD  IH N F IY L D
INFILTRATION  IH N F IH L T R EY SH IX N
INFLAMMATORY  IH N F L AE M AX T AO R IY
INFLATED  IH N F L EY T IX D
INFLUENCES  IH N F L UW AX N S IX Z
INFORMATION  IH N F AXR M EY SH IX N
INFORMATIVE  IH N F AO R M AX T IH V
INFORMED  IH N F AO R M D
INFREQUENT  IH N F R IY K W AX N T
INFURIATION  IH N F Y UH R IY EY SH IX N
INGENUITY  IH N JH IX N UW IX T IY
INGREDIENT  IH N G R IY D IY AX N T
INGREDIENTS  IH N G R IY D IY AX N T S
INHABIT  IH N HH AE B AX T
INHERITED  IH N HH EH R AX T IX D
INHIBIT  IH N HH IH B AX T
INHIBITOR  IH N HH IH B IX T AXR
INHUMAN  IH N HH Y UW M AX N
INITIATIVE  IH N IH SH IX T IH V
INJECTED  IH N JH EH K T IX D
INJECTION  IH N JH EH K SH IX N
INJECTION-MOLDED  IH N JH EH K SH IX N M OW L D IX D
INJURIES  IH N JH AXR IY Z
INNOCENCE  IH N IX S IX N S
INQUIRED  IH N K W AY AXR D
INQUIRY  IH N K W AY AXR IY
INSECTICIDE  IH N S EH K T IX S AY D
INSECTICIDES  IH N S EH K T IX S AY D Z
INSERT  IH N S ER T
INSIDE  IH N S AY D
INSIST  IH N S IH S T
INSPIRING  IH N S P AY ER IX NG
INSTABILITY  IH N S T AX B IH L IX T IY
INSTALLATIONS  IH N S T AX L EY SH IX N Z
INSTALLED  IH N S T AO L D
INSTANCE  IH N S T AX N S
INSTANT  IH N S T AX N T
INSTANTANEOUS  IH N S T AX N T EY N IY AX S
INSTEAD  IH N S T EH D
INSTINCT  IH N S T IH NG T
INSTRUCTIONS  IH N S T R AH K SH IX N Z
INSTRUMENT  IH N S T R AX M AX N T
INSTRUMENTS  IH N S T R AX M AX N T S
INSUFFICIENT  IH N S AX F IH SH IX N T
INSULATE  IH N S AX L EY T
INSULATOR  IH N S AX L EY T AXR
INSURANCE  IH N SH UH R AX N S
INTEGRATED  IH N T IX G R EY T IX D
INTEGRATION  IH N T IX G R EY SH IX N
INTEGRITY  IH N T EH G R AX T IY
INTELLIGENCE  IH N T EH L IX JH IX N S
INTELLIGENT  IH N T EH L IX JH IX N T
INTELLIGIBLE  IH N T EH L AX JH IX B EL
INTENT  IH N T EH N T
INTERCHANGEABLY  IH N T AXR CH EY N JH AX B L IY
INTEREST  IH N T R AX S T
INTERESTED  IH N T R AX S T IX D
INTERESTING  IH N T R AX S T IX NG
INTERIOR  IH N T IH R IY AXR
INTERNAL  IH N T ER N EL
INTERPRETATION  IH N T ER P R AX T EY SH IX N
INTERPRETATIONS  IH N T ER P R AX T EY SH IX N Z
INTERVALS  IH N T AXR V EL Z
INTERVIEW  IH N T AXR V Y UW
INTERVIEWEE  IH N T AXR V Y UW IY
INTERWEAVING  IH N T AXR W IY V IX NG
INTIMATE  IH N T AX M AX T
INTO  IH N T UW
INTRODUCED  IH N T R AX D UW S T
INTRUSIONS  IH N T R UW ZH IX N Z
INTUITION  IH N T UW IH SH IX N
INVADE  IH N V EY D
INVALUABLE  IH N V AE L Y UH B EL
INVARIABLY  IH N V AE R IY AX B L IY
INVENTORIES  IH N V AX N T AO R IY Z
INVEST  IH N V EH S T
INVESTIGATION  IH N V EH S T IX G EY SH IX N
INVESTIGATIONS  IH N V EH S T IX G EY SH IX N Z
INVIOLATE  IH N V AY EL IX T
INVITATION  IH N V IX T EY SH IX N
INVOKED  IH N V OW K T
INVOLVED  IH N V AA L V D
INVOLVES  IH N V AA L V Z
INVOLVING  IH N V AA L V IX NG
INWARD  IH N W AXR D
INWARDLY  IH N W AXR D L IY
IRATE  AY R EY T
IRIS  AY R IX S
IRISH  AY R IH SH
IRON  AY AXR N
IRON-POOR  AY AXR N P UH R
IRONIC  AY R AA N IH K
IRONICALLY  AY R AA N IH K L IY
IRONING  AY AXR N IX NG
IRONS  AY AXR N Z
IRRADIATION  IH R EY D IY EY SH IX N
IRREMEDIABLE  IH R IH M IY D IY AX B EL
IRRESPONSIBLE  IH R IH S P AA N S AX B EL
IRRITATED  IH R AX T EY T IX D
IRVING'S  ER V IX NG Z
IS  IH Z
ISN'T  IH Z EN T
ISOTOPES  AY S AX T OW P S
ISSUE  IH SH UW
ISSUED  IH SH UW D
ISSUES  IH SH UW Z
IT  IH T
IT'D  IH T UH D
IT'S  IH T S
ITCHING  IH CH IX NG
ITEM  AY T EM
ITEMIZE  AY T AX M AY Z
ITEMS  AY T EM Z
ITS  IH T S
ITSELF  IH T S EH L F
IVORY  AY V R IY
JABBED  JH AE B D
JACKASS  JH AE K AE S
JACKET  JH AE K IX T
JADED  JH EY D IX D
JAGGED  JH AE G IX D
JAGUARS  JH AE G W AA R Z
JAM  JH AE M
JANE  JH EY N
JANUARY  JH AE N Y UW EH R IY
JAR  JH AA R
JARS  JH AA R Z
JAW  JH AO
JEALOUSIES  JH EH L AX S IY Z
JEALOUSY  JH EH L AX S IY
JEEP  JH IY P
JEFF  JH EH F
JEFF'S  JH EH F S
JENNIFER'S  JH EH N IX F AXR Z
JEOPARDIZE  JH EH P AXR D AY Z
JERK  JH ER K
JERKY  JH ER K IY
JET  JH EH T
JEWEL  JH UW EL
JEWEL-BRIGHT  JH UW EL B R AY T
JIM  JH IH M
JIM'S  JH IH M Z
JOB  JH AA B
JOCULAR  JH AA K Y UH L AXR
JOHN  JH AA N
JOHN'S  JH AA N Z
JOIN  JH OY N
JOINING  JH OY N IX NG
JOINT  JH OY N T
JOKERS  JH OW K AXR Z
JOKES  JH OW K S
JOKING  JH OW K IX NG
JOURNAL  JH ER N EL
JOURNALESE  JH ER N AX L IY Z
JOURNALIST  JH ER N EL IX S T
JOYCE  JH OY S
JUDGE  JH AH JH
JUDGED  JH AH JH D
JUICE  JH UW S
JUICY  JH UW S IY
JUMP  JH AH M P
JUMPED  JH AH M P T
JUNGLE  JH AH NG G EL
JUNGLE-LIKE  JH AH NG G EL L AY K
JUNIOR  JH UW N Y AXR
JUST  JH AH S T
JUSTIFICATION  JH AH S T IX F AX K EY SH IX N
KAYAK  K AY AE K
KAYO  K EY OW
KEELSON  K IY L S AH N
KEEP  K IY P
KEPT  K EH P T
KERNELS  K ER N EL Z
KEROSENE  K EH R IX S IY N
KEY  K IY
KEYED  K IY D
KEYS  K IY Z
KICK  K IH K
KID  K IH D
KID'S  K IH D Z
KIDNAPPERS  K IH D N AE P ER Z
KIDS  K IH D Z
KILL  K IH L
KILLED  K IH L D
KIN  K IH N
KIND  K AY N D
KINDA  K AY N D AX
KINDERGARTEN  K IH N D AXR G AA R T EN
KINDLY  K AY N D L IY
KIPPERS  K IH P AXR Z
KISSED  K IH S T
KITCHEN  K IH CH IX N
KNACK  N AE K
KNEE  N IY
KNEELING  N IY L IX NG
KNEES  N IY Z
KNEW  N UW
KNICK-  N IH K
KNICK-KNACKS  N IH K N AE K S
KNIFE  N AY F
KNIFELIKE  N AY F L AY K
KNIT  N IH T
KNITTED  N IH T IX D
KNIVES  N AY V Z
KNOCKED  N AA K T
KNOW  N OW
KNOWED  N OW D
KNOWING  N OW IX NG
KNOWINGLY  N OW IX NG L IY
KNOWN  N OW N
KNOWS  N OW Z
LABELED  L EY B EL D
LABOR  L EY B AXR
LABORATORY  L AE B R IX T AO R IY
LACERATE  L AE S AXR EY T
LACK  L AE K
LACKEYS  L AE K IY Z
LACTATING  L AE K T EY T IX NG
LAD  L AE D
LADDER  L AE D AXR
LADY'S  L EY D IY Z
LADYLIKE  L EY D IY L AY K
LAGOON  L AX G UW N
LAID  L EY D
LAKE  L EY K
LAMB'S  L AE M Z
LAMP  L AE M P
LAMPS  L AE M P S
LAND  L AE N D
LAND-BASED  L AE N D B EY S T
LANDLORD  L AE N D L AO R D
LANDMARKS  L AE N D M AA R K S
LANGUAGE  L AE NG G W IH JH
LARGE  L AA R JH
LARGELY  L AA R JH L IY
LARGER  L AA R JH AXR
LARVAE  L AA R V IY
LASHED  L AE SH T
LASHINGS  L AE SH IX NG Z
LAST  L AE S T
LATCHES  L AE CH IX Z
LATE  L EY T
LATENT  L EY T EN T
LATER  L EY T AXR
LATEST  L EY T IX S T
LATHE  L EY DH
LATITUDES  L AE T IX T UW D Z
LATTER  L AE T AXR
LAUGH  L AE F
LAUGHED  L AE F T
LAUGHING  L AE F IX NG
LAVISHLY  L AE V IH SH L IY
LAW  L AO
LAWFUL  L AO F UH L
LAWS  L AO Z
LAWYER  L AO Y AXR
LAWYERS  L AO Y AXR Z
LAY  L EY
LAY-UP  L EY AH P
LAYOFFS  L EY AO F S
LAZY  L EY Z IY
LEAD  L IY D
LEADER  L IY D AXR
LEADERSHIP  L IY D AXR SH IH P
LEADING  L IY D IX NG
LEAF  L IY F
LEAFLET  L IY F L IX T
LEAGUES  L IY G Z
LEAP  L IY P
LEARN  L ER N
LEARNED  L ER N D
LEAST  L IY S T
LEATHER  L EH DH AXR
LEAVE  L IY V
LEAVES  L IY V Z
LEAVING  L IY V IX NG
LEAVINGS  L IY V IX NG Z
LED  L EH D
LEDGER  L EH JH AXR
LEEWAY  L IY W EY
LEFT  L EH F T
LEG  L EH G
LEGAL  L IY G EL
LEGEND  L EH JH IX N D
LEGGED  L EH G D
LEGISLATION  L EH JH IX S L EY SH IX N
LEGISLATIVE  L EH JH IX S L EY T IH V
LEGISLATURE  L EH JH IH S L EY CH ER
LEGS  L EH G Z
LEISURE  L IY ZH AXR
LEMON  L EH M AX N
LENGTH  L EH NG TH
LENGTHY  L EH NG TH IY
LENTILS  L EH N T EL Z
LEOPARDS  L EH P AXR D Z
LESS  L EH S
LESSON  L EH S EN
LESSONS  L EH S EN Z
LEST  L EH S T
LET  L EH T
LET'S  L EH T S
LETTER  L EH T AXR
LETTERS  L EH T AXR Z
LEVEL  L EH V EL
LEVEL'S  L EH V EL Z
LEVELING  L EH V EL IX NG
LEVELS  L EH V EL Z
LEWD  L UW D
LIBERAL  L IH B ER EL
LIBERAL-LED  L IH B ER EL L EH D
LIBERALS  L IH B ER EL Z
LIBRARY  L AY B R EH R IY
LID  L IH D
LIDS  L IH D Z
LIE  L AY
LIFE  L AY F
LIFEBOATS  L AY F B OW T S
LIFELONG  L AY F L AO NG
LIFT  L IH F T
LIFTING  L IH F T IX NG
LIGAMENT  L IH G AX M AX N T
LIGHT  L AY T
LIGHTBULBS  L AY T B AH L B Z
LIGHTED  L AY T IX D
LIGHTER  L AY T AXR
LIGHTLY  L AY T L IY
LIGHTS  L AY T S
LIKE  L AY K
LIKED  L AY K T
LIKELY  L AY K L IY
LIKES  L AY K S
LIKEWISE  L AY K W AY Z
LILY  L IH L IY
LIMIT  L IH M IX T
LIMITED  L IH M AX T IX D
LINCOLN  L IH NG K AX N
LINE  L AY N
LINES  L AY N Z
LION  L AY IX N
LIP  L IH P
LIPS  L IH P S
LIQUID  L IH K W IX D
LIQUIDS  L IH K W IX D Z
LIQUOR  L IH K AXR
LIST  L IH S T
LISTED  L IH S T IX D
LISTS  L IH S T S
LITERALLY  L IH T AXR AX L IY
LITERARY  L IH T AXR EH R IY
LITERATURE  L IH T AXR AX CH UH R
LITHOGRAPHS  L IH TH AX G R AE F S
LITTER  L IH T AXR
LITTLE  L IH T EL
LIVED  L IH V D
LIVELY  L AY V L IY
LIVES  L IH V Z
LIVESTOCK  L AY V S T AA K
LIVE~ADJ  L AY V
LIVE~V  L IH V
LIVING  L IH V IX NG
LOADED  L OW D IX D
LOADS  L OW D Z
LOBES  L OW B Z
LOCAL  L OW K EL
LOCATE  L OW K EY T
LOCATION  L OW K EY SH IX N
LOCK  L AA K
LOCKED  L AA K T
LODGE  L AA JH
LOGICAL  L AA JH IH K EL
LOGICALLY  L AA JH IH K L IY
LOGS  L AO G Z
LONE  L OW N
LONELINESS  L OW N L IY N IX S
LONG  L AO NG
LONG-OVERDUE  L AO NG OW V AXR D UW
LONG-RANGE  L AO NG R EY N JH
LONG-TERM  L AO NG T ER M
LONGED  L AO NG D
LONGER  L AO NG G AXR
LONGITUDES  L AA N JH IX T UW D Z
LOOK  L UH K
LOOKED  L UH K T
LOOKING  L UH K IX NG
LOOKS  L UH K S
LOOMS  L UW M Z
LOOSE  L UW S
LORI'S  L AO R IY Z
LOSE  L UW Z
LOSS  L AO S
LOSSES  L AO S IX Z
LOST  L AO S T
LOT  L AA T
LOTIONS  L OW SH IX N Z
LOTS  L AA T S
LOUDEST  L AW D IX S T
LOUDLY  L AW D L IY
LOUSE  L AW S
LOUSINESS  L AW Z IY N IX S
LOVE  L AH V
LOVED  L AH V D
LOVELY  L AH V L IY
LOVIE  L AH V IY
LOVING  L AH V IX NG
LOW  L OW
LOWER  L OW AXR
LOWERED  L OW AXR D
LOYAL  L OY EL
LOYALTIES  L OY EL T IY Z
LUCK  L AH K
LUCKY  L AH K IY
LULLABY  L AH L IX B AY
LUMBER  L AH M B AXR
LUNCH  L AH N CH
LUNCHROOM  L AH N CH R UW M
LUNGS  L AH NG Z
LUSH  L AH SH
LUXURIOUS  L AH G ZH UH R IY AX S
LUXURY  L AH K SH AXR IY
LYING  L AY IX NG
MA'AM  M AE M
MACABRE  M AX K AA B R AX
MACHINE  M AX SH IY N
MACHINERY  M AX SH IY N AXR IY
MACHINES  M AX SH IY N Z
MAD  M AE D
MADE  M EY D
MADSTONES  M AE D S T OW N Z
MAGNETIC  M AE G N EH T IH K
MAGNETISM  M AE G N IX T IH Z EM
MAGNIFICENTLY  M AE G N IH F IX S IX N T L IY
MAGNIFIED  M AE G N IH F AY D
MAGPIES  M AE G P AY Z
MAHOGANY  M AX HH AA G IX N IY
MAIDS'  M EY D Z
MAIL  M EY L
MAIN  M EY N
MAINTAIN  M EY N T EY N
MAINTENANCE  M EY N T IX N IX N S
MAJOR  M EY JH AXR
MAJORITY  M AX JH AO R IX T IY
MAKE  M EY K
MAKES  M EY K S
MAKING  M EY K IX NG
MALADIES  M AE L AX D IY Z
MALARIA  M AX L AE R IY AX
MALE  M EY L
MAMMALS  M AE M EL Z
MAN  M AE N
MAN'S  M AE N Z
MANAGE  M AE N IH JH
MANAGED  M AE N IH JH D
MANAGEMENT  M AE N IH JH M AX N T
MANDATES  M AE N D EY T S
MANGO  M AE NG G OW
MANHOOD  M AE N HH UH D
MANIFEST  M AE N AX F EH S T
MANNER  M AE N AXR
MANNERISM  M AE N AXR IH Z EM
MANNERS  M AE N AXR Z
MANUAL  M AE N Y UW EL
MANUFACTURER  M AE N Y UW F AE K CH ER AXR
MANUFACTURERS  M AE N Y UW F AE K CH ER AXR Z
MANURE  M AX N UH AXR
MANY  M EH N IY
MANY-BODIED  M EH N IY B AA D IY D
MAP  M AE P
MARE'S  M AE R Z
MARGARET  M AA R G R AX T
MARINE  M AXR IY N
MARINE'S  M AXR IY N Z
MARK  M AA R K
MARKETING  M AA R K IX T IX NG
MARKETS  M AA R K IX T S
MARKS  M AA R K S
MARKSMANSHIP  M AA R K S M AX N SH IH P
MARRIAGE  M AE R IH JH
MARRIED  M AE R IY D	
MARSHMALLOWS  M AA R SH M EH L OW Z
MARVEL  M AA R V EL
MARVELOUSLY  M AA R V EL AX S L IY
MASK  M AE S K
MASKS  M AE S K S
MASONRY  M EY S EN R IY
MASQUERADE  M AE S K AXR EY D
MASS  M AE S
MASSAGE  M AX S AA ZH
MASSIVE  M AE S IH V
MASTER  M AE S T AXR
MASTER'S  M AE S T AXR Z
MASTERFUL  M AE S T AXR F UH L
MATCHED  M AE CH T
MATCHING  M AE CH IX NG
MATE  M EY T
MATERIAL  M AX T IH R IY EL
MATERIALS  M AX T IH R IY EL Z
MATES  M EY T S
MATHEMATICS  M AE TH AX M AE T IX K S
MATHEWS  M AE TH Y UW Z
MATTER  M AE T AXR
MATTERS  M AE T AXR Z
MATTRESSES  M AE T R IX S IX Z
MATURITY  M AX CH UH R IH T IY
MAXIMAL  M AE K S AX M EL
MAXIMIZE  M AE K S IX M AY Z
MAXIMUM  M AE K S IX M AX M
MAY  M EY
MAYAN  M AY AX N
MAYBE  M EY B IY
MAYONNAISE  M EY AX N EY Z
ME  M IY
MEADOW  M EH D OW
MEALS  M IY L Z
MEALYNOSED  M IY L IY N OW Z D
MEAN  M IY N
MEANING  M IY N IX NG
MEANINGFUL  M IY N IX NG F UH L
MEANNESS  M IY N IX S
MEANS  M IY N Z
MEANT  M EH N T
MEANWHILE  M IY N HH W AY L
MEASURE  M EH ZH AXR
MEASURED  M EH ZH AXR D
MEASUREMENT  M EH ZH AXR M AX N T
MEAT  M IY T
MEATS  M IY T S
MECHANIC  M IH K AE N IH K
MECHANICAL  M IH K AE N IH K EL
MECHANISM  M EH K AX N IH Z EM
MEDIA  M IY D IY AX
MEDIAN  M IY D IY AX N
MEDICAL  M EH D IX K EL
MEDICINE  M EH D IX S IH N
MEDIEVAL  M IY D IX IY V EL
MEDIOCRITY  M IY D IY AA K R IH T IY
MEET  M IY T
MEETING  M IY T IX NG
MEETINGS  M IY T IX NG Z
MELANCHOLY  M EH L IX N K AA L IY
MELODRAMATIC  M EH L OW D R AX M AE T IH K
MELODY  M EH L AX D IY
MELTED  M EH L T IX D
MEMBER  M EH M B AXR
MEMBERS  M EH M B AXR Z
MEMBERSHIP  M EH M B AXR SH IH P
MEMO  M EH M OW
MEMORIZED  M EH M AXR AY Z D
MEMORY  M EH M AXR IY
MEN  M EH N
MENTAL  M EH N T EL
MENTALITY  M EH N T AE L IX T IY
MENTION  M EH N SH IX N
MEOW  M IY AW
MERCENARY  M ER S EN EH R IY
MERCHANDISING  M ER CH IX N D AY Z IX NG
MERCILESSLY  M ER S EL EH S L IY
MERE  M IH R
MERELY  M IH R L IY
MERGER  M ER JH AXR
MERGERS  M ER JH AXR Z
MERIT  M EH R IX T
MERRILY  M EH R IX L IY
MESS  M EH S
MESSAGE  M EH S IH JH
MESSY  M EH S IY
MET  M EH T
METAL  M EH T EL
METALLIC  M AX T AE L IH K
METHOD  M EH TH AX D
METHODS  M EH TH AX D Z
METTLE  M EH T EL
MIAMI  M AY AE M IY
MICHAEL  M AY K EL
MICROMETEORITE  M AY K R OW M IY T IY AXR AY T
MICROMETEORITES  M AY K R OW M IY T IY AXR AY T S
MICROORGANISMS  M AY K R OW AO R G IX N IH Z EM Z
MICROSCOPICALLY  M AY K R IX S K AA P IH K L IY
MIDAIR  M IH D AE R
MIDNIGHT  M IH D N AY T
MIGHT  M AY T
MIGHTY  M AY T IY
MIKE  M AY K
MILE  M AY L
MILES  M AY L Z
MILITARY  M IH L IX T EH R IY
MILK  M IH L K
MILLIONAIRES  M IH L Y AX N AE R Z
MIND  M AY N D
MINDED  M AY N D IX D
MINDS  M AY N D Z
MINE  M AY N
MINING  M AY N IX NG
MINISTER  M IH N IX S T AXR
MINOR  M AY N AXR
MINORITY  M AY N AO R AX T IY
MINUTE  M IH N IX T
MINUTES  M IH N IX T S
MIRACULOUS  M AXR AE K Y UH L AX S
MIRACULOUSLY  M AXR AE K Y UH L AX S L IY
MIRAGE  M AXR AA ZH
MIRROR  M IH R AXR
MIRRORS  M IH R AXR Z
MISBEHAVIOR  M IH S B IH HH EY V Y AXR
MISERABLE  M IH Z AXR AX B EL
MISERY  M IH Z AXR IY
MISHAP  M IH S HH AE P
